donor_id,name,email,password,contact_number,blood_group,availability,months_since_first_donation,number_of_donation,pints_donated,created_at,date_of_birth,current_age,age_at_time_of_registration,permanent_city,permanent_state,permanent_district,permanent_pincode,permanent_street,current_city,current_state,current_district,current_pincode,current_street,donor_details_updated_by_admin,haemoglobin,platelets,gender,last_blood_donation_date,days_since_last_donation,blood_pressure
a97eb571ff,Sneha Reddy,sneha427@gmail.com,Q3bgBp6l@$,+91 9801987165,AB+,Yes,30,48,96.0,12/3/2023,10/6/1988,37,35,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Temple Road 18,Chennai,Tamil Nadu,Chennai,600001,MG Road 12-3-45,No,14.2,160941,Male,07/05/2024,90,120/76
0ca95c6050,Anita Rao,anita366@gmail.com,Iu$^1Ye#1O,+91 9934168033,AB-,Yes,91,19,38.0,4/27/2017,12/25/1991,34,32,Nagpur,Maharashtra,Nagpur,440001,Lake View Street 5,Bangalore,Karnataka,Bangalore Urban,560001,MG Road 12-3-45,No,14.8,193680,Male,10/30/2024,329,114/74
048f51a5c3,Ravi Verma,ravi141@gmail.com,e!I41zTRJz,+91 9058912224,A+,Yes,89,21,21.0,8/8/2021,2/18/1991,35,33,Chennai,Tamil Nadu,Chennai,600001,Lake View Street 5,Nagpur,Maharashtra,Nagpur,440001,Lake View Street 5,No,12.4,312516,Female,09/14/2024,303,111/84
c7f9c60103,Priya Das,priya746@gmail.com,54V0lSkV(),+91 9647644572,O-,No,90,43,86.0,10/20/2017,4/4/2000,25,22,Mumbai,Maharashtra,Mumbai City,400001,MG Road 12-3-45,Guntur,Andhra Pradesh,Guntur,522002,MG Road 12-3-45,No,12.0,331450,Male,08/31/2024,213,114/71
cd9e28dfdd,Rahul Iyer,rahul264@gmail.com,W@9wA0rlgq,+91 9251706705,O+,Yes,21,28,28.0,5/2/2022,3/30/2002,23,23,Nagpur,Maharashtra,Nagpur,440001,Temple Road 18,Tirupati,Andhra Pradesh,Tirupati,517501,Nehru Colony 9,No,15.9,376402,Male,12/30/2024,48,115/71
c875c0deb3,Kiran Sharma,kiran520@gmail.com,RiNeiT)w&0,+91 9769922127,AB-,No,107,29,29.0,2/9/2021,1/28/2001,25,24,Warangal,Telangana,Hanamkonda,506001,MG Road 12-3-45,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Nehru Colony 9,No,13.4,185215,Female,05/12/2025,48,117/78
5a32af3fa4,Rahul Singh,rahul470@gmail.com,RSvBy(D$(7,+91 9344879050,B-,Yes,91,48,48.0,4/11/2024,4/10/2000,25,23,Coimbatore,Tamil Nadu,Coimbatore,641001,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Lake View Street 5,No,13.8,257139,Male,06/01/2024,313,128/77
2d5678fff9,Sneha Gupta,sneha331@gmail.com,_hFmTweYB5,+91 9976930261,B-,Yes,77,41,41.0,11/21/2017,10/27/1977,48,47,Bangalore,Karnataka,Bangalore Urban,560001,MG Road 12-3-45,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,No,16.0,381280,Female,02/12/2026,155,116/75
acf2af789b,Ramesh Patel,ramesh521@gmail.com,0a+(4Fqh&9,+91 9210855067,B+,Yes,60,25,25.0,4/26/2021,4/16/2000,25,25,Tirupati,Andhra Pradesh,Tirupati,517501,MG Road 12-3-45,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,MG Road 12-3-45,No,14.4,291077,Male,01/02/2025,346,122/75
e61bb198e6,Amit Verma,amit684@gmail.com,is9Zz2Ed@_,+91 9954395275,O-,Yes,110,16,16.0,8/22/2022,7/8/2007,18,18,Chennai,Tamil Nadu,Chennai,600001,Lake View Street 5,Coimbatore,Tamil Nadu,Coimbatore,641001,Nehru Colony 9,No,12.6,364802,Other,09/14/2025,208,121/76
cbbfd26d7a,Kiran Patel,kiran722@gmail.com,&iECAOIiH6,+91 9014926400,A-,Yes,35,1,1.0,7/12/2021,9/17/1987,38,38,Mysore,Karnataka,Mysore,570001,Lake View Street 5,Vijayawada,Andhra Pradesh,Krishna,521001,Nehru Colony 9,No,15.1,370341,Male,07/29/2025,158,110/83
287ab04c21,Ramesh Verma,ramesh310@gmail.com,E^1bSBlw@!,+91 9387813248,AB+,No,46,36,36.0,1/2/2018,3/31/1983,42,39,Mysore,Karnataka,Mysore,570001,Temple Road 18,Coimbatore,Tamil Nadu,Coimbatore,641001,Nehru Colony 9,No,14.4,362764,Female,12/14/2024,122,128/83
78887515c6,Suresh Yadav,suresh659@gmail.com,6mF07lCl(Q,+91 9554504049,O-,No,47,34,34.0,6/16/2025,11/8/1992,33,28,Vijayawada,Andhra Pradesh,Krishna,521001,Gandhi Nagar 22,Chennai,Tamil Nadu,Chennai,600001,Gandhi Nagar 22,No,13.3,379618,Male,11/26/2024,258,118/82
62dbf1fb9d,Suresh Das,suresh682@gmail.com,dktW60UbI!,+91 9481839579,AB-,Yes,43,49,49.0,7/27/2018,4/22/2001,24,22,Chennai,Tamil Nadu,Chennai,600001,Lake View Street 5,Hyderabad,Telangana,Hyderabad,500001,Nehru Colony 9,No,14.1,389546,Male,03/24/2025,116,126/83
7884d76c18,Lakshmi Nair,lakshmi189@gmail.com,!tBkMdNp2H,+91 9263858134,B+,Yes,74,18,36.0,11/9/2016,8/20/1989,36,34,Guntur,Andhra Pradesh,Guntur,522002,Lake View Street 5,Chennai,Tamil Nadu,Chennai,600001,Nehru Colony 9,No,13.3,360473,Male,08/24/2025,262,126/78
45494a599c,Suresh Kumar,suresh661@gmail.com,+&9f0+aB!Y,+91 9177928106,B+,Yes,38,25,50.0,12/12/2015,04/14/1993,33,32,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,Bangalore,Karnataka,Bangalore Urban,560001,Gandhi Nagar 22,Yes,14.0,170606,Male,10/01/2024,572,110/77
86ac64c58d,Deepa Mehta,deepa388@gmail.com,^8KhArrDwP,+91 9429682274,A-,Yes,103,5,5.0,6/3/2025,1/28/2003,23,21,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,MG Road 12-3-45,Warangal,Telangana,Hanamkonda,506001,Temple Road 18,No,13.2,333076,Female,09/25/2025,44,119/85
1ab37e044c,Priya Verma,priya783@gmail.com,d0A(LV6O@u,+91 9749608418,O+,Yes,12,25,50.0,5/2/2018,11/12/2005,20,19,Hyderabad,Telangana,Hyderabad,500001,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Nehru Colony 9,No,14.7,159486,Female,04/10/2024,288,124/81
03d2bc5b75,Anita Nair,anita250@gmail.com,tu&V7PSb#n,+91 9864193367,B-,No,10,23,23.0,7/29/2018,3/11/1993,32,29,Bangalore,Karnataka,Bangalore Urban,560001,MG Road 12-3-45,Madurai,Tamil Nadu,Madurai,625001,Lake View Street 5,No,15.5,265588,Male,09/22/2024,65,119/72
3ed8e00b9a,Arjun Gupta,arjun486@gmail.com,OwP%4H4aGi,+91 9308207816,B-,Yes,63,25,50.0,4/22/2020,12/30/2000,25,25,Vijayawada,Andhra Pradesh,Krishna,521001,Temple Road 18,Guntur,Andhra Pradesh,Guntur,522002,Temple Road 18,No,15.7,289485,Female,06/02/2024,343,111/72
5c6848db10,Kiran Nair,kiran751@gmail.com,JE+5zUNlLD,+91 9193112926,B-,Yes,13,12,24.0,5/22/2019,12/16/1983,42,40,Madurai,Tamil Nadu,Madurai,625001,Lake View Street 5,Guntur,Andhra Pradesh,Guntur,522002,Nehru Colony 9,No,15.8,234882,Male,05/24/2024,240,119/85
7494581cd1,Pooja Gupta,pooja603@gmail.com,$5Qwmv$jI7,+91 9499706440,B+,Yes,76,31,31.0,6/22/2019,8/22/2007,18,18,Mysore,Karnataka,Mysore,570001,Temple Road 18,Pune,Maharashtra,Pune,411001,Gandhi Nagar 22,No,12.3,155301,Female,06/27/2024,191,116/83
4e68996faa,Vijay Patel,vijay601@gmail.com,!15uTnKGi8,+91 9083352725,O+,No,86,20,40.0,9/30/2021,3/2/1984,42,37,Nagpur,Maharashtra,Nagpur,440001,Nehru Colony 9,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,MG Road 12-3-45,No,15.6,354891,Male,05/04/2024,68,110/77
39a03993c5,Ravi Patel,ravi56@gmail.com,B&3TSNvL1S,+91 9264514561,B-,Yes,43,45,90.0,2/8/2025,6/6/1976,49,47,Hyderabad,Telangana,Hyderabad,500001,Lake View Street 5,Mangalore,Karnataka,Dakshina Kannada,575001,MG Road 12-3-45,No,14.5,364020,Male,01/27/2025,157,126/81
7b3c78e7ad,Arjun Chopra,arjun939@gmail.com,S7Xa5N_K!N,+91 9423981762,B+,No,77,50,50.0,8/6/2020,11/30/2000,25,22,Mumbai,Maharashtra,Mumbai City,400001,Gandhi Nagar 22,Guntur,Andhra Pradesh,Guntur,522002,Gandhi Nagar 22,No,12.9,211578,Female,07/16/2025,67,126/85
a6e2bed7f6,Pooja Sharma,pooja898@gmail.com,Gk7xrcGf1&,+91 9579462341,O-,Yes,102,5,5.0,3/16/2025,6/6/1997,28,28,Mumbai,Maharashtra,Mumbai City,400001,Nehru Colony 9,Chennai,Tamil Nadu,Chennai,600001,Nehru Colony 9,No,14.6,280928,Female,11/24/2024,159,124/79
64e67bcf11,Ramesh Reddy,ramesh878@gmail.com,qX!2xHuo9c,+91 9961088619,B+,Yes,38,0,0.0,12/23/2024,11/28/1988,37,37,Coimbatore,Tamil Nadu,Coimbatore,641001,MG Road 12-3-45,Hyderabad,Telangana,Hyderabad,500001,Gandhi Nagar 22,No,14.8,164875,Male,12/22/2025,154,127/74
1694279b78,Suresh Chopra,suresh788@gmail.com,#sO@3pVw63,+91 9072520355,B+,No,47,32,64.0,9/29/2020,3/25/1995,30,28,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,Vijayawada,Andhra Pradesh,Krishna,521001,Gandhi Nagar 22,No,14.0,209910,Female,01/30/2026,284,122/81
086938ccb6,Neha Sharma,neha873@gmail.com,q&Wv5Mxe6Y,+91 9293641642,O-,No,77,37,37.0,6/16/2020,9/16/1986,39,37,Hyderabad,Telangana,Hyderabad,500001,Lake View Street 5,Hyderabad,Telangana,Hyderabad,500001,Lake View Street 5,No,12.5,159901,Other,07/24/2025,203,116/83
03f6ee36d8,Arjun Das,arjun430@gmail.com,X2kLUdpV^Q,+91 9104457500,B+,No,64,36,72.0,3/10/2019,10/8/1995,30,25,Nagpur,Maharashtra,Nagpur,440001,Temple Road 18,Coimbatore,Tamil Nadu,Coimbatore,641001,Lake View Street 5,No,15.6,328086,Male,07/22/2025,332,119/79
99a1dc07a5,Ramesh Sharma,ramesh839@gmail.com,*0$eNW&d7),+91 9167681749,A+,Yes,61,26,26.0,7/15/2022,3/23/1990,35,35,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,Temple Road 18,Vijayawada,Andhra Pradesh,Krishna,521001,Lake View Street 5,No,14.3,311942,Female,01/20/2026,317,130/82
aa42fcf1e8,Kiran Chopra,kiran720@gmail.com,Q&pR3Mrh5H,+91 9667967662,A+,Yes,60,49,49.0,3/7/2018,7/13/1980,45,44,Warangal,Telangana,Hanamkonda,506001,Lake View Street 5,Bangalore,Karnataka,Bangalore Urban,560001,Temple Road 18,No,14.2,286390,Other,10/20/2025,124,113/85
3e63937146,Anita Sharma,anita887@gmail.com,DEnAZ0Tev%,+91 9142926774,B+,No,13,44,88.0,8/15/2020,3/16/1984,41,40,Warangal,Telangana,Hanamkonda,506001,Nehru Colony 9,Guntur,Andhra Pradesh,Guntur,522002,Nehru Colony 9,No,12.1,250298,Female,11/13/2024,335,116/83
b778d403c4,Kiran Sharma,kiran718@gmail.com,AmT56W0q)h,+91 9476233686,O-,Yes,112,3,6.0,11/14/2022,12/14/1986,39,39,Karimnagar,Telangana,Karimnagar,505001,Nehru Colony 9,Hyderabad,Telangana,Hyderabad,500001,Nehru Colony 9,No,15.5,207367,Female,01/15/2026,238,117/77
201f3391e3,Lakshmi Joshi,lakshmi382@gmail.com,taX$b2Tf0q,+91 9368989423,A-,No,100,8,16.0,7/13/2021,2/2/2000,26,21,Guntur,Andhra Pradesh,Guntur,522002,Lake View Street 5,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,No,15.3,201756,Female,04/23/2025,326,118/84
181fee608c,Kiran Kumar,kiran192@gmail.com,h%1THLbzJO,+91 9810036434,O-,No,101,40,40.0,7/2/2020,11/10/1975,50,47,Nagpur,Maharashtra,Nagpur,440001,Lake View Street 5,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,Lake View Street 5,No,13.7,276496,Male,11/25/2024,249,125/75
009509cdab,Suresh Rao,suresh994@gmail.com,@j_BGytBm0,+91 9041684006,O-,No,115,1,1.0,1/21/2019,11/28/1985,40,35,Guntur,Andhra Pradesh,Guntur,522002,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Nehru Colony 9,No,15.1,300716,Male,12/29/2025,218,124/73
344a988e25,Ramesh Nair,ramesh290@gmail.com,BCJTo_J5)2,+91 9807911227,A+,No,44,11,11.0,10/28/2021,11/14/1985,40,39,Mumbai,Maharashtra,Mumbai City,400001,Lake View Street 5,Mysore,Karnataka,Mysore,570001,Gandhi Nagar 22,No,14.4,178918,Other,01/22/2026,155,119/71
5cab8279af,Lakshmi Mehta,lakshmi382@gmail.com,@WW7&PgGPE,+91 9304333535,A-,Yes,26,0,0.0,11/6/2018,2/23/1990,36,35,Mangalore,Karnataka,Dakshina Kannada,575001,Lake View Street 5,Tirupati,Andhra Pradesh,Tirupati,517501,Lake View Street 5,No,14.2,191764,Other,10/27/2024,130,123/84
c189f1b415,Kiran Chopra,kiran309@gmail.com,B1XTAspN!k,+91 9818946128,A+,No,47,44,44.0,3/23/2024,5/7/1999,26,22,Karimnagar,Telangana,Karimnagar,505001,Temple Road 18,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Temple Road 18,No,13.7,253723,Female,09/30/2024,168,111/83
942e6f71ef,Vijay Nair,vijay479@gmail.com,8)9Q_qgk_X,+91 9045524811,B+,Yes,58,7,14.0,8/4/2018,1/6/1983,43,41,Guntur,Andhra Pradesh,Guntur,522002,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Nehru Colony 9,No,12.9,312807,Male,08/24/2024,196,113/75
28713d2882,Pooja Rao,pooja513@gmail.com,9H9(Jag_(t,+91 9031744789,AB+,No,23,37,37.0,10/25/2018,9/9/1976,49,44,Mysore,Karnataka,Mysore,570001,Temple Road 18,Pune,Maharashtra,Pune,411001,Temple Road 18,No,15.2,223245,Male,01/24/2026,333,117/84
3b0160ce08,Amit Chopra,amit60@gmail.com,j6UaAKRe+3,+91 9611811564,B+,No,114,9,9.0,5/9/2018,9/24/1989,36,32,Nagpur,Maharashtra,Nagpur,440001,Gandhi Nagar 22,Warangal,Telangana,Hanamkonda,506001,Gandhi Nagar 22,No,15.2,281620,Other,08/05/2024,150,125/74
2df305a0f5,Lakshmi Chopra,lakshmi990@gmail.com,8tH7vCAbX*,+91 9976078682,A+,Yes,76,1,2.0,10/23/2017,5/29/2002,23,21,Hyderabad,Telangana,Hyderabad,500001,Temple Road 18,Pune,Maharashtra,Pune,411001,MG Road 12-3-45,No,15.1,169392,Female,01/30/2026,137,121/70
92ae7b4dcf,Amit Rao,amit764@gmail.com,f(52KQJvG#,+91 9026785511,B+,No,38,35,70.0,6/15/2024,6/21/1994,31,26,Vijayawada,Andhra Pradesh,Krishna,521001,Gandhi Nagar 22,Mumbai,Maharashtra,Mumbai City,400001,Lake View Street 5,No,13.5,162389,Male,05/17/2025,253,112/82
60f7c9c90d,Amit Rao,amit90@gmail.com,AF&F6*6bp(,+91 9977211109,AB+,No,10,15,30.0,6/18/2025,6/22/1998,27,23,Guntur,Andhra Pradesh,Guntur,522002,MG Road 12-3-45,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,MG Road 12-3-45,No,12.7,333191,Male,07/13/2025,40,119/74
63027729ed,Lakshmi Chopra,lakshmi345@gmail.com,Wi_Z3iEw^!,+91 9427712759,A+,No,52,0,0.0,3/14/2016,6/22/1989,36,31,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Gandhi Nagar 22,Mangalore,Karnataka,Dakshina Kannada,575001,Gandhi Nagar 22,No,14.5,207746,Female,09/07/2025,56,129/85
f6db482658,Arjun Chopra,arjun345@gmail.com,_q3SqixQ$1,+91 9420018758,B-,No,37,30,30.0,7/27/2020,6/15/1994,31,28,Mangalore,Karnataka,Dakshina Kannada,575001,Gandhi Nagar 22,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Gandhi Nagar 22,No,15.5,189650,Female,07/01/2025,324,120/70
caea03542c,Pooja Verma,pooja311@gmail.com,KB+2I1VaEf,+91 9443233662,B+,No,55,11,11.0,12/2/2022,8/22/1976,49,47,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Nehru Colony 9,Madurai,Tamil Nadu,Madurai,625001,Temple Road 18,No,13.5,285707,Female,09/15/2024,222,123/79
5123f24833,Amit Das,amit74@gmail.com,+6U%opAQTc,+91 9455856830,B+,No,59,40,40.0,3/29/2021,7/6/2002,23,22,Pune,Maharashtra,Pune,411001,Lake View Street 5,Nagpur,Maharashtra,Nagpur,440001,Gandhi Nagar 22,No,13.6,246137,Male,01/20/2026,252,126/83
839bffb8ff,Lakshmi Patel,lakshmi454@gmail.com,fB0jD*Xk6@,+91 9890851812,AB+,Yes,106,44,88.0,12/17/2015,2/7/1976,50,49,Hyderabad,Telangana,Hyderabad,500001,Gandhi Nagar 22,Nagpur,Maharashtra,Nagpur,440001,Nehru Colony 9,No,12.7,306636,Male,08/18/2025,143,116/79
42ecde716b,Deepa Nair,deepa230@gmail.com,W3MIMww!#^,+91 9141446140,O+,No,11,43,86.0,3/29/2020,4/1/1981,44,43,Mumbai,Maharashtra,Mumbai City,400001,Gandhi Nagar 22,Chennai,Tamil Nadu,Chennai,600001,Lake View Street 5,No,13.5,296270,Male,04/26/2024,130,128/84
57ed7c5f78,Amit Iyer,amit159@gmail.com,8#DZWZjj*x,+91 9332325338,AB+,Yes,15,17,17.0,10/1/2023,4/6/1981,44,43,Guntur,Andhra Pradesh,Guntur,522002,Temple Road 18,Tirupati,Andhra Pradesh,Tirupati,517501,Gandhi Nagar 22,No,14.6,399267,Male,04/13/2025,197,113/70
6693a22e82,Ramesh Mehta,ramesh607@gmail.com,)2Lcz5@D1b,+91 9372204377,O+,No,56,6,12.0,5/22/2019,2/9/1976,50,46,Vijayawada,Andhra Pradesh,Krishna,521001,Gandhi Nagar 22,Karimnagar,Telangana,Karimnagar,505001,Temple Road 18,No,15.4,356903,Other,05/24/2025,244,117/83
55aed7f494,Suresh Patel,suresh521@gmail.com,%8*(mBlf#m,+91 9478117204,B-,Yes,4,4,8.0,6/29/2020,6/25/2003,22,21,Karimnagar,Telangana,Karimnagar,505001,Gandhi Nagar 22,Pune,Maharashtra,Pune,411001,MG Road 12-3-45,No,12.8,247386,Male,06/10/2024,260,127/77
72f198a783,Sneha Nair,sneha94@gmail.com,!!+40aVbgJ,+91 9623641168,A-,Yes,114,48,48.0,11/10/2022,9/3/1993,32,32,Hyderabad,Telangana,Hyderabad,500001,Gandhi Nagar 22,Nagpur,Maharashtra,Nagpur,440001,Gandhi Nagar 22,No,13.4,350805,Other,11/21/2025,277,119/73
c0e400019f,Suresh Sharma,suresh147@gmail.com,fz8RBHdt5!,+91 9723665109,AB+,No,66,8,8.0,4/27/2020,6/24/2006,19,18,Coimbatore,Tamil Nadu,Coimbatore,641001,Temple Road 18,Bangalore,Karnataka,Bangalore Urban,560001,MG Road 12-3-45,No,15.6,196287,Female,12/27/2025,255,126/70
2be10d41e5,Deepa Kumar,deepa252@gmail.com,b87_XtDp@Y,+91 9330155497,O+,No,94,49,98.0,12/15/2020,11/8/1988,37,34,Chennai,Tamil Nadu,Chennai,600001,Temple Road 18,Warangal,Telangana,Hanamkonda,506001,Nehru Colony 9,No,14.4,393552,Male,09/30/2024,110,114/84
41ee1ca004,Ramesh Das,ramesh210@gmail.com,J7$6ByfzZ!,+91 9288277502,AB-,Yes,20,7,7.0,5/28/2024,9/1/1995,30,28,Chennai,Tamil Nadu,Chennai,600001,Temple Road 18,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Temple Road 18,No,13.8,196030,Male,04/26/2024,258,119/83
377b1d9e45,Suresh Das,suresh665@gmail.com,++NzygZ3%7,+91 9758605697,O+,Yes,61,31,62.0,3/5/2017,5/27/1988,37,36,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,Lake View Street 5,Karimnagar,Telangana,Karimnagar,505001,Nehru Colony 9,No,15.5,389913,Male,12/31/2024,329,113/71
